Entity,Nodes,Edges
wajib_fasting,"nazar, kaffara",
nazar,,
khusoof,,
kiblah,,
kusoof,,
madinah,,
maghrib,,
maqaam_e_ibrahim,,
marwah,,
masah_of_head,,
masah_of_neck,,
masjid_al_haraam,,
mataaf,,
meeqaat,,
meezab_e_rehmat,,
mina,,
muharram,,
multazim,,
muzdalifaah,,
nafil_fasting,"random, shawwal, shabban",
prostration,,
qadah,,
qauma,,
ramazan,,
random,,
recitation,,
rinse_mouth,,
rinse_nostrils,,
rinse_the_mouth,,
safaa,,
salaam,,
salat_ul_witr,,
shabban,,
shawwal,,
sitting,,
standing,,
standing_after_bow,,
tahajud,,
tahiyyatul_ul_wuzu,,
takbir,,
tarawwih,,
tasbih,,
tawaff,,
tayammum_component,"wipe_face, wipe_hands",
travel,,
wash_face,,
wash_feet_till_ankle,,
wash_hands,,
wash_hands_till_elbow,,
wash_nostrils,,
wipe_face,,
wipe_hands,,
wudu,,
zakat,"zakat_ul_fitr, zakat_wealth",
zakat_ul_fitr,,
zakat_wealth,,
zuhar,,
has_ablution_component,,
ObjectProperty,"has_ablution_component, has_ghusal_component, hascomponent, has_khutbah, performed_on, has_prayer_component","('hascomponent', 'has_ablution_component'), ('hascomponent', 'has_ghusal_component'), ('hascomponent', 'has_prayer_component')"
hascomponent,"has_ablution_component, has_ghusal_component, has_prayer_component",
has_ghusal_component,,
has_khutbah,,
has_prayer_component,,
performed_on,,
